title,short_name,city,state_abbreviation,url,about_html,logo_src,productions_html
"KCAW-FM (Raven Radio Foundation, Inc.)",KCAW,Sitka,AK,http://www.kcaw.org/,"<p>KCAW-FM is a non-commercial, community radio station owned and operated
by the Raven Radio Foundation, Inc. of Sitka, Alaska. Since signing on the air
March 6th, 1982, KCAW has been broadcasting a diverse and vibrant program schedule
to the Southeast Alaskan communities of Sitka, Angoon, Elfin Cove, Kake, Pelican,
Port Alexander, Tenakee Springs, Yakutat, as well as a wide expanse of the coastal
fishing grounds.</p><p>KCAW provides essential information services such as Emergency
Alert System and AMBER announcements; severe weather warnings and local, regional,
state, national and international news as well as entertainment programming to
a combined listening population of 11,748. The residents of these coastal communities
rely on KCAW for instantaneous information regarding tsunami warnings and storm
threats.</p><p>Volunteer participation and community involvement have always been key
components of our mission. Raven Radio currently has more than 1200 members and
100 active volunteers. In the past 20 years, KCAW has trained more than 700 on-air
volunteers, and in the past week, more than 50 volunteers have been on the air.
KCAW has built a solid reputation for training producers and several former staff
and volunteers are now award winning national producers.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kcaw_logo.png,"<p>One of the productions Raven Radio is most proud of is the original radio series ""Haven Bay"". Scores of writers, actors, musicians and technicians worked for several years to create four seasons featuring dozens of five minute modules following the adventures of the unique individuals in this remote fictional(?) Alaskan town.</p>"
KCPT (KCPT Public Television 19),KCPT,Kansas City,MO,http://www.kcpt.org/,"<p>On March 29, 1961, Channel 19 signed on the air as KCSD, an instructional 
television station owned and operated by the Kansas City Missouri School 
District. Ten years later, when the district chose to relinquish its broadcast 
license, a group of civic leaders including Homer Wadsworth and Charles Curran 
used gifts from George Powell, Sr. and John Francis to provide for the 
establishment of a non-profit agency to create a public television station 
for Kansas City and the surrounding areas of Kansas and Missouri. Ownership 
of the broadcast license was granted in January 1972, creating a 
community-licensed public television station operating under the call 
letters KCPT. KCPT began transmitting national programs offered by the 
Public Broadcasting Service (PBS) in 1970.</p><p>Today KCPT is a telecommunications center serving over 2.2 million potential 
viewers with quality television programs available to anyone with a television 
set within a 34-county radius. Though now a community licensee, KCPT continues 
to provide education services to more than 120,000 students and 8,000+ 
teachers in K-12 schools with instructional television and online services 
within Missouri and Kansas. The station also provides educational programming 
and support services to early childhood students, parents and teachers and 
college distance learning efforts. 2013 brought two major changes to KCPT. 
The station purchased The Bridge, 90.9FM, a public radio all music format 
station, placing great emphasis on local musicians, and opened the Hale 
Center for Journalism focusing resources on regional stories.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kcpt_logo.png,"<ul>
<li>KC Illustrated</li>
<li>Marquee</li>
<li>State House Debates</li>
</ul>"
KCTS 9,KCTS 9,Seattle,WA,http://kcts9.org/,"","",""
KDLG-AM,KDLG,Dillingham,AK,http://kdlg.org/,"","",""
KDNA-FM,KDNA,Granger,WA,http://www.kdna.org/,"","",""
KEET,KEET,Eureka,CA,http://www.keet.org/,"<p>KEET Public Television educates and enriches our communities by providing informative, entertaining programs and innovative outreach, creating public dialogue on local and global issues, and building vital community partnerships.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/keet_logo.png,""
Ken Burns - Florentine Films,Ken Burns - Florentine Films,Walpole,NH,http://www.florentinefilms.com/,"","",""
KET - The Kentucky Network,KET - Kentucky Educational Television,Lexington,KY,http://www.ket.org/,"","",""
KEXP-FM,KEXP,Seattle,WA,http://www.kexp.org/,"<p>Beginning as a tiny 10-watt station back in 1972, KEXP has grown
over the years into an innovative, influential cultural force in the Seattle community
and beyond. Some of the station's milestones include:</p><p>1972 -KCMU begins broadcasting
as a student-run station from a 10-watt transmitter at 90.5 FM atop McMahon Hall
on the University of Washington campus.</p><p>1981- UW budget cuts mean KCMU becomes
a community supported, listener powered station.</p><p>1982- Increased wattage (182-watts)
means listeners hear KCMU outside the University District for the first time.</p><p>1985-
KCMU forges the musical philosophy and programming focus that defines us today,
adding hip hop, roots, blues, contemporary global music, reggae, jazz, and more
to its lineup.</p><p>1986- KCMU moves to 90.3 FM, relocates its transmitter to Capitol
Hill, and boost its power to 400-watts so that listeners as far as 15 miles away
can pick up the signal.</p><p>1991- Seattle’s grunge scene explodes and KCMU is there,
championing local artists, venues, and record labels.</p><p>1999- KCMU partners with
the UW’s technology R&amp;D team to develop innovative ways to serve more music lovers
via new media.</p><p>2000- KCMU is the first station in the world to offer uncompressed
CD-quality audio on the Internet. KCMU moves from its long-time home in the Communications
Bldg. (CMU) to Kane Hall.</p><p>2001- With the help of venture philanthropy from the
Paul G. Allen Family Foundation, KCMU becomes KEXP 90.3 FM, moving to its first
high-tech studios. KEXP nearly doubles its wattage from 400 to 720, serving many
more people in the Puget Sound, and creates more ways for people across the world
to enjoy the KEXP experience. KEXP’s UW engineers develop radio’s first real-time
playlist.</p><p>2002- KEXP launches radio’s first streaming archive. </p><p>2003- KEXP develops
radio’s first cell phone stream.</p><p>2004- KEXP.org wins the Webby Award for Best
Radio Website.</p><p>2005- KEXP offers first live performance podcast.</p><p>2008- KEXP
teams up with Radio New York to produce Radio Liberation programming for the New
York airwaves. The programs aired through 2011.</p><p>2011- KEXP renews its collaboration
with UW for a 30-year term.</p><p>2012- KEXP celebrates its 40th anniversary. KEXP
partners with Seattle Theater Group and Starbucks to launch the Little Big Show
concert series with 100% of proceeds from ticket sales benefitting arts-based
programming and education for Seattle-area youth.</p><p>2013- KEXP partners with the
City of Seattle to build its New Home at Seattle Center, revolutionizing the way
contemporary artists and music is championed and nurtured in our community and
beyond. As part of the iconic local label’s Silver Jubilee, KEXP teamed up with
Sub Pop and Seattle Center to broadcast from the top of the Space Needle.</p><p>2014-
KEXP launches live video streaming service, KEXP Now. KEXP YouTube channel reaches
500,000 subscribers and over 270 million views. UW Board of Regents formally transfers
the KEXP 90.3 FM broadcast license from its ownership at University of Washington
to the Friends of KEXP nonprofit. This move helps secure KEXP’s future to champion
music and discovery for our three beneficiaries: music lovers, artists, and Seattle’s
vibrant music community.</p><p>2015- KEXP breaks ground on new home at Seattle Center.
Construction Begins February 2015 on KEXP’s New Home.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kexp_logo.png,""
KGLT-FM,KGLT,Bozeman,MT,http://www.kglt.net/,"<p>On the air for 47 years, KGLT 91.9fm, alternative public radio in
Southwest Montana, has entertained and shared diverse music played by live DJ’s
around the clock, as well as informative programming and public service announcements,
with its listeners.  KGLT is located on the campus of Montana State University
(MSU), Bozeman.  With 90 live announcers playing their choice of music 22 hours
per day, KGLT produces 1,500 to 2,000 public service announcements and offers
three DJ apprentice classes yearly.   Approximately one third of the public service
announcements (PSAs) relate to campus offerings such as new classes, recreational
and volunteer opportunities, events, and informing students and employees committees
and programs in existence to help and protect them: diversity, women's issues,
returning vet issues, handicap rights, rape alerts, and drunk driver ride home options.
Public service issues on and off campus include AIDS awareness, medical care and
preventative options, LBGTQ support, bullying, parenting, and environmental awareness.
The KGLT website hosts a Community Calendar that announces lectures, concerts,
classes, nature programs, and exhibits in all areas where there are radio signals.
Environmentally, Montana is a rare combination of being an ‘AG’ or agricultural
state, because of all the ranching and farming, and a state also focused on maintaining
its land untainted by industry.  Montana is dependent on the tourist trade for
fishing, hiking, and hunting as well as summer and winter recreation.  It is one
of the only states making a conscientious effort for a meeting of the minds of
the ranchers and outdoors enthusiasts.  As a result, there is a lot of informative
and educational discussion offered and shared as PSAs on the air. </p><p>The audiences
reached are diverse; KGLT ranks in the top 25% of 21 stations in Gallatin County
and collaborates with NPR stations in Montana.   KGLT is the matriarch of community
radio in the state of Montana, offering openness, inclusiveness, and commitment
to community.  The goal for KGLT is to reach more listeners in order to offer
them this familial yet professional inclusivity, so that they may benefit from
the information and education KGLT provides in music and public service.</p><p>Apprentice
classes give staff the opportunity to mentor students, helping them to live up
to their potential to become informed, comfortable, well spoken, generous, and
ethical.</p><p>New in 2014, KGLT has worked with the Central Washington University
radio station to help them build financial support.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/kglt_logo.png,"<p>KGLT is the Emergency Alert System for Gallatin County, broadcasts
the daily avalanche and ski reports, announces school closings, and gives a fishing
report during the fishing season. </p><p>KGLT has an on air calendar called “Unzipping
the Weekend”, sharing entertainment events and locations.  KGLT informs the public
of City and County open forums regarding environmental and planning issues including
water quality, building, parks, and development.  </p><p>Listener's Personals is a
daily report of lost animals, ride sharing, and more, with a trusted reputation
for helping people get the help they need. </p><p>KGLT worked with Superintendent of
Schools Denise Juneau, Montana Team Nutrition and first lady of Montana, Lisa
Bullock to produce eleven announcements for use by any other station free of charge
and posted on the Montana Food Bank Network website.  The aim of the project was
to spread information about the importance of breakfast for students’ abilities
to retain information and learn.  In the interest of students forging ahead to
reach their highest potential, a KGLT student employee who is in the Music Technology
program wrote the background music and was given credit and recognition for that.</p><p>The Tellin’ Ellen program that collaboratively airs on National Public Radio
stations in Montana, produced at KGLT, has included the subjects of Depression
and Suicide, Mid-life job changes for women, the art of writing, an interview
with MSU President Waded Cruzado, the first woman and Latina to hold this influential
and important issue in Montana, a discussion about Humane Education with the Director
of Education for the Humane Society of the United States and Giving in the workplace
(ie.   Workplace payroll deduction options in an interview with the Executive
Directors of United Way and Montana Shares.</p><p>KGLT produces ""Chrysti the Wordsmith"",
a two minute, 20 year old program exploring the origins and histories of words,
phrases and idioms in the English language. The series runs on both National Public
Radio stations in Montana: Yellowstone Public Radio in Billings and Montana Public
Radio in Missoula.  It also is on KCPW in Salt Lake City and worldwide on Armed
Forces Radio and Television Network. </p><p>""Montana Medicine Show"", also produced
at the station, consists of two minute segments of Montana history and is researched,
written and narrated by Bozeman High School Award winning History teacher, Derek
Strahn.  It airs six times a week on KGLT and seven times per week on three AM
stations in Eastern Montana.  A second book of Medicine Show stories is coming
out by summer, 2015 and the series itself will be offered to libraries across
the state.  The first, published in 2014 is called The Montana Medicine Show's
Genuine Montana History, by B. Derek Strahn, Montana High School History Teacher
of the Year.</p>"
KGNU-FM,KGNU,Boulder,CO,http://www.kgnu.org/,"","",""
KGTF (PBS Guam),PBS Guam,Mangilao,GU,http://pbsguam.org/,"<p>PBS Guam (KGTF) is Guam’s public media station, delivering exceptional programs from national, 
regional and local sources since 1970.  PBS Guam is PBS’ western-most member station, located 
approximately 3,800 miles west of Hawaii and 1,500 miles south of Japan; it is uniquely situated 
to bring together east and west content themes - through broadcast and other multimedia 
platforms - that serve the public interest and engage the island’s blend of cultures.  </p><p>Video archives from past decades, along with present work, reflect a great deal of the station’s 
productions. They offer viewers an historical Guam and are perspectives told by the island’s 
diverse local population. The archives contain programs that encompass numerous cultural, 
educational, biographical, political, military and environmental topics.  </p><p>The television station has come a long way from its humble beginnings. Today, PBS Guam is 
pleased to uphold the tradition of providing island viewers with outstanding programs, 
educational services and dynamic community engagement opportunities for generations of 
viewers to come.</p>",https://s3.amazonaws.com/americanarchive.org/org-logos/pbs_guam_logo.png,""
KMOS,KMOS,Warrensburg,MO,http://kmos.org/,"","",""
